case_id,phase,utc_start,utc_end,environment,wallet_alias,precondition,request_count,concurrency,expected,observed,http_app_result,accepted_count,rejected_count,accepted_amount,counter_before,counter_after,wallet_state_before,wallet_state_after,evidence_ref,outcome,finding_id,notes
PRE-001,preflight,,,,,,,,,,,,,,,,,,,NOT_RUN,,
S-PERTX-001,sequential,,,,,,,,,,,,,,,,,,,NOT_RUN,,
S-PERTX-002,sequential,,,,,,,,,,,,,,,,,,,NOT_RUN,,
S-PERTX-003,sequential,,,,,,,,,,,,,,,,,,,NOT_RUN,,
S-DAILY-001,sequential,,,,,,,,,,,,,,,,,,,NOT_RUN,,
S-MONTH-001,sequential,,,,,,,,,,,,,,,,,,,NOT_RUN,,
C-DAY-001,concurrency,,,,,,,,,,,,,,,,,,,NOT_RUN,,
C-MONTH-001,concurrency,,,,,,,,,,,,,,,,,,,NOT_RUN,,
C-PERTX-001,concurrency,,,,,,,,,,,,,,,,,,,NOT_RUN,,
I-001,idempotency,,,,,,,,,,,,,,,,,,,NOT_RUN,,
I-002,idempotency,,,,,,,,,,,,,,,,,,,NOT_RUN,,
I-003,idempotency,,,,,,,,,,,,,,,,,,,NOT_RUN,,
I-004,idempotency,,,,,,,,,,,,,,,,,,,NOT_RUN,,
R-001,retry_timeout,,,,,,,,,,,,,,,,,,,NOT_RUN,,
P-001,partial_failure,,,,,,,,,,,,,,,,,,,NOT_RUN,,
C-BURST-001,bounded_burst,,,,,,,,,,,,,,,,,,,NOT_RUN,,
REC-001,reconciliation,,,,,,,,,,,,,,,,,,,NOT_RUN,,
